index,is_even
30000,1
30001,0
30002,1
30003,0
30004,1
30005,0
30006,1
30007,0
30008,1
30009,0
30010,1
30011,0
30012,1
30013,0
30014,1
30015,0
30016,1
30017,0
30018,1
30019,0
30020,1
30021,0
30022,1
30023,0
30024,1
30025,0
30026,1
30027,0
30028,1
30029,0
30030,1
30031,0
30032,1
30033,0
30034,1
30035,0
30036,1
30037,0
30038,1
30039,0
30040,1
30041,0
30042,1
30043,0
30044,1
30045,0
30046,1
30047,0
30048,1
30049,0
30050,1
30051,0
30052,1
30053,0
30054,1
30055,0
30056,1
30057,0
30058,1
30059,0
30060,1
30061,0
30062,1
30063,0
30064,1
30065,0
30066,1
30067,0
30068,1
30069,0
30070,1
30071,0
30072,1
30073,0
30074,1
30075,0
30076,1
30077,0
30078,1
30079,0
30080,1
30081,0
30082,1
30083,0
30084,1
30085,0
30086,1
30087,0
30088,1
30089,0
30090,1
30091,0
30092,1
30093,0
30094,1
30095,0
30096,1
30097,0
30098,1
30099,0
30100,1
30101,0
30102,1
30103,0
30104,1
30105,0
30106,1
30107,0
30108,1
30109,0
30110,1
30111,0
30112,1
30113,0
30114,1
30115,0
30116,1
30117,0
30118,1
30119,0
30120,1
30121,0
30122,1
30123,0
30124,1
30125,0
30126,1
30127,0
30128,1
30129,0
30130,1
30131,0
30132,1
30133,0
30134,1
30135,0
30136,1
30137,0
30138,1
30139,0
30140,1
30141,0
30142,1
30143,0
30144,1
30145,0
30146,1
30147,0
30148,1
30149,0
30150,1
30151,0
30152,1
30153,0
30154,1
30155,0
30156,1
30157,0
30158,1
30159,0
30160,1
30161,0
30162,1
30163,0
30164,1
30165,0
30166,1
30167,0
30168,1
30169,0
30170,1
30171,0
30172,1
30173,0
30174,1
30175,0
30176,1
30177,0
30178,1
30179,0
30180,1
30181,0
30182,1
30183,0
30184,1
30185,0
30186,1
30187,0
30188,1
30189,0
30190,1
30191,0
30192,1
30193,0
30194,1
30195,0
30196,1
30197,0
30198,1
30199,0
30200,1
30201,0
30202,1
30203,0
30204,1
30205,0
30206,1
30207,0
30208,1
30209,0
30210,1
30211,0
30212,1
30213,0
30214,1
30215,0
30216,1
30217,0
30218,1
30219,0
30220,1
30221,0
30222,1
30223,0
30224,1
30225,0
30226,1
30227,0
30228,1
30229,0
30230,1
30231,0
30232,1
30233,0
30234,1
30235,0
30236,1
30237,0
30238,1
30239,0
30240,1
30241,0
30242,1
30243,0
30244,1
30245,0
30246,1
30247,0
30248,1
30249,0
30250,1
30251,0
30252,1
30253,0
30254,1
30255,0
30256,1
30257,0
30258,1
30259,0
30260,1
30261,0
30262,1
30263,0
30264,1
30265,0
30266,1
30267,0
30268,1
30269,0
30270,1
30271,0
30272,1
30273,0
30274,1
30275,0
30276,1
30277,0
30278,1
30279,0
30280,1
30281,0
30282,1
30283,0
30284,1
30285,0
30286,1
30287,0
30288,1
30289,0
30290,1
30291,0
30292,1
30293,0
30294,1
30295,0
30296,1
30297,0
30298,1
30299,0
30300,1
30301,0
30302,1
30303,0
30304,1
30305,0
30306,1
30307,0
30308,1
30309,0
30310,1
30311,0
30312,1
30313,0
30314,1
30315,0
30316,1
30317,0
30318,1
30319,0
30320,1
30321,0
30322,1
30323,0
30324,1
30325,0
30326,1
30327,0
30328,1
30329,0
30330,1
30331,0
30332,1
30333,0
30334,1
30335,0
30336,1
30337,0
30338,1
30339,0
30340,1
30341,0
30342,1
30343,0
30344,1
30345,0
30346,1
30347,0
30348,1
30349,0
30350,1
30351,0
30352,1
30353,0
30354,1
30355,0
30356,1
30357,0
30358,1
30359,0
30360,1
30361,0
30362,1
30363,0
30364,1
30365,0
30366,1
30367,0
30368,1
30369,0
30370,1
30371,0
30372,1
30373,0
30374,1
30375,0
30376,1
30377,0
30378,1
30379,0
30380,1
30381,0
30382,1
30383,0
30384,1
30385,0
30386,1
30387,0
30388,1
30389,0
30390,1
30391,0
30392,1
30393,0
30394,1
30395,0
30396,1
30397,0
30398,1
30399,0
30400,1
30401,0
30402,1
30403,0
30404,1
30405,0
30406,1
30407,0
30408,1
30409,0
30410,1
30411,0
30412,1
30413,0
30414,1
30415,0
30416,1
30417,0
30418,1
30419,0
30420,1
30421,0
30422,1
30423,0
30424,1
30425,0
30426,1
30427,0
30428,1
30429,0
30430,1
30431,0
30432,1
30433,0
30434,1
30435,0
30436,1
30437,0
30438,1
30439,0
30440,1
30441,0
30442,1
30443,0
30444,1
30445,0
30446,1
30447,0
30448,1
30449,0
30450,1
30451,0
30452,1
30453,0
30454,1
30455,0
30456,1
30457,0
30458,1
30459,0
30460,1
30461,0
30462,1
30463,0
30464,1
30465,0
30466,1
30467,0
30468,1
30469,0
30470,1
30471,0
30472,1
30473,0
30474,1
30475,0
30476,1
30477,0
30478,1
30479,0
30480,1
30481,0
30482,1
30483,0
30484,1
30485,0
30486,1
30487,0
30488,1
30489,0
30490,1
30491,0
30492,1
30493,0
30494,1
30495,0
30496,1
30497,0
30498,1
30499,0
30500,1
30501,0
30502,1
30503,0
30504,1
30505,0
30506,1
30507,0
30508,1
30509,0
30510,1
30511,0
30512,1
30513,0
30514,1
30515,0
30516,1
30517,0
30518,1
30519,0
30520,1
30521,0
30522,1
30523,0
30524,1
30525,0
30526,1
30527,0
30528,1
30529,0
30530,1
30531,0
30532,1
30533,0
30534,1
30535,0
30536,1
30537,0
30538,1
30539,0
30540,1
30541,0
30542,1
30543,0
30544,1
30545,0
30546,1
30547,0
30548,1
30549,0
30550,1
30551,0
30552,1
30553,0
30554,1
30555,0
30556,1
30557,0
30558,1
30559,0
30560,1
30561,0
30562,1
30563,0
30564,1
30565,0
30566,1
30567,0
30568,1
30569,0
30570,1
30571,0
30572,1
30573,0
30574,1
30575,0
30576,1
30577,0
30578,1
30579,0
30580,1
30581,0
30582,1
30583,0
30584,1
30585,0
30586,1
30587,0
30588,1
30589,0
30590,1
30591,0
30592,1
30593,0
30594,1
30595,0
30596,1
30597,0
30598,1
30599,0
30600,1
30601,0
30602,1
30603,0
30604,1
30605,0
30606,1
30607,0
30608,1
