,dummy_column,number
80000,1,80000
80001,1,80001
80002,1,80002
80003,1,80003
80004,1,80004
80005,1,80005
80006,1,80006
80007,1,80007
80008,1,80008
80009,1,80009
80010,1,80010
80011,1,80011
80012,1,80012
80013,1,80013
80014,1,80014
80015,1,80015
80016,1,80016
80017,1,80017
80018,1,80018
80019,1,80019
80020,1,80020
80021,1,80021
80022,1,80022
80023,1,80023
80024,1,80024
80025,1,80025
80026,1,80026
80027,1,80027
80028,1,80028
80029,1,80029
80030,1,80030
80031,1,80031
80032,1,80032
80033,1,80033
80034,1,80034
80035,1,80035
80036,1,80036
80037,1,80037
80038,1,80038
80039,1,80039
80040,1,80040
80041,1,80041
80042,1,80042
80043,1,80043
80044,1,80044
80045,1,80045
80046,1,80046
80047,1,80047
80048,1,80048
80049,1,80049
80050,1,80050
80051,1,80051
80052,1,80052
80053,1,80053
80054,1,80054
80055,1,80055
80056,1,80056
80057,1,80057
80058,1,80058
80059,1,80059
80060,1,80060
80061,1,80061
80062,1,80062
80063,1,80063
80064,1,80064
80065,1,80065
80066,1,80066
80067,1,80067
80068,1,80068
80069,1,80069
80070,1,80070
80071,1,80071
80072,1,80072
80073,1,80073
80074,1,80074
80075,1,80075
80076,1,80076
80077,1,80077
80078,1,80078
80079,1,80079
80080,1,80080
80081,1,80081
80082,1,80082
80083,1,80083
80084,1,80084
80085,1,80085
80086,1,80086
80087,1,80087
80088,1,80088
80089,1,80089
80090,1,80090
80091,1,80091
80092,1,80092
80093,1,80093
80094,1,80094
80095,1,80095
80096,1,80096
80097,1,80097
80098,1,80098
80099,1,80099
80100,1,80100
80101,1,80101
80102,1,80102
80103,1,80103
80104,1,80104
80105,1,80105
80106,1,80106
80107,1,80107
80108,1,80108
80109,1,80109
80110,1,80110
80111,1,80111
80112,1,80112
80113,1,80113
80114,1,80114
80115,1,80115
80116,1,80116
80117,1,80117
80118,1,80118
80119,1,80119
80120,1,80120
80121,1,80121
80122,1,80122
80123,1,80123
80124,1,80124
80125,1,80125
80126,1,80126
80127,1,80127
80128,1,80128
80129,1,80129
80130,1,80130
80131,1,80131
80132,1,80132
80133,1,80133
80134,1,80134
80135,1,80135
80136,1,80136
80137,1,80137
80138,1,80138
80139,1,80139
80140,1,80140
80141,1,80141
80142,1,80142
80143,1,80143
80144,1,80144
80145,1,80145
80146,1,80146
80147,1,80147
80148,1,80148
80149,1,80149
80150,1,80150
80151,1,80151
80152,1,80152
80153,1,80153
80154,1,80154
80155,1,80155
80156,1,80156
80157,1,80157
80158,1,80158
80159,1,80159
80160,1,80160
80161,1,80161
80162,1,80162
80163,1,80163
80164,1,80164
80165,1,80165
80166,1,80166
80167,1,80167
80168,1,80168
80169,1,80169
80170,1,80170
80171,1,80171
80172,1,80172
80173,1,80173
80174,1,80174
80175,1,80175
80176,1,80176
80177,1,80177
80178,1,80178
80179,1,80179
80180,1,80180
80181,1,80181
80182,1,80182
80183,1,80183
80184,1,80184
80185,1,80185
80186,1,80186
80187,1,80187
80188,1,80188
80189,1,80189
80190,1,80190
80191,1,80191
80192,1,80192
80193,1,80193
80194,1,80194
80195,1,80195
80196,1,80196
80197,1,80197
80198,1,80198
80199,1,80199
80200,1,80200
80201,1,80201
80202,1,80202
80203,1,80203
80204,1,80204
80205,1,80205
80206,1,80206
80207,1,80207
80208,1,80208
80209,1,80209
80210,1,80210
80211,1,80211
80212,1,80212
80213,1,80213
80214,1,80214
80215,1,80215
80216,1,80216
80217,1,80217
80218,1,80218
80219,1,80219
80220,1,80220
80221,1,80221
80222,1,80222
80223,1,80223
80224,1,80224
80225,1,80225
80226,1,80226
80227,1,80227
80228,1,80228
80229,1,80229
80230,1,80230
80231,1,80231
80232,1,80232
80233,1,80233
80234,1,80234
80235,1,80235
80236,1,80236
80237,1,80237
80238,1,80238
80239,1,80239
80240,1,80240
80241,1,80241
80242,1,80242
80243,1,80243
80244,1,80244
80245,1,80245
80246,1,80246
80247,1,80247
80248,1,80248
80249,1,80249
80250,1,80250
80251,1,80251
80252,1,80252
80253,1,80253
80254,1,80254
80255,1,80255
80256,1,80256
80257,1,80257
80258,1,80258
80259,1,80259
80260,1,80260
80261,1,80261
80262,1,80262
80263,1,80263
80264,1,80264
80265,1,80265
80266,1,80266
80267,1,80267
80268,1,80268
80269,1,80269
80270,1,80270
80271,1,80271
80272,1,80272
80273,1,80273
80274,1,80274
80275,1,80275
80276,1,80276
80277,1,80277
80278,1,80278
80279,1,80279
80280,1,80280
80281,1,80281
80282,1,80282
80283,1,80283
80284,1,80284
80285,1,80285
80286,1,80286
80287,1,80287
80288,1,80288
80289,1,80289
80290,1,80290
80291,1,80291
80292,1,80292
80293,1,80293
80294,1,80294
80295,1,80295
80296,1,80296
80297,1,80297
80298,1,80298
80299,1,80299
80300,1,80300
80301,1,80301
80302,1,80302
80303,1,80303
80304,1,80304
80305,1,80305
80306,1,80306
80307,1,80307
80308,1,80308
80309,1,80309
80310,1,80310
80311,1,80311
80312,1,80312
80313,1,80313
80314,1,80314
80315,1,80315
80316,1,80316
80317,1,80317
80318,1,80318
80319,1,80319
80320,1,80320
80321,1,80321
80322,1,80322
80323,1,80323
80324,1,80324
80325,1,80325
80326,1,80326
80327,1,80327
80328,1,80328
80329,1,80329
80330,1,80330
80331,1,80331
80332,1,80332
80333,1,80333
80334,1,80334
80335,1,80335
80336,1,80336
80337,1,80337
80338,1,80338
80339,1,80339
80340,1,80340
80341,1,80341
80342,1,80342
80343,1,80343
80344,1,80344
80345,1,80345
80346,1,80346
80347,1,80347
80348,1,80348
80349,1,80349
80350,1,80350
80351,1,80351
80352,1,80352
80353,1,80353
80354,1,80354
80355,1,80355
80356,1,80356
80357,1,80357
80358,1,80358
80359,1,80359
80360,1,80360
80361,1,80361
80362,1,80362
80363,1,80363
80364,1,80364
80365,1,80365
80366,1,80366
80367,1,80367
80368,1,80368
80369,1,80369
80370,1,80370
80371,1,80371
80372,1,80372
80373,1,80373
80374,1,80374
80375,1,80375
80376,1,80376
80377,1,80377
80378,1,80378
80379,1,80379
80380,1,80380
80381,1,80381
80382,1,80382
80383,1,80383
80384,1,80384
80385,1,80385
80386,1,80386
80387,1,80387
80388,1,80388
80389,1,80389
80390,1,80390
80391,1,80391
80392,1,80392
80393,1,80393
80394,1,80394
